n:1 mse_avg:8362.67 mse_y:12544.00 mse_u:0.00 mse_v:0.00 psnr_avg:8.91 psnr_y:7.15 psnr_u:inf psnr_v:inf 
n:2 mse_avg:8173.79 mse_y:12260.68 mse_u:0.00 mse_v:0.00 psnr_avg:9.01 psnr_y:7.25 psnr_u:inf psnr_v:inf 
n:3 mse_avg:1777.63 mse_y:2666.44 mse_u:0.00 mse_v:0.00 psnr_avg:15.63 psnr_y:13.87 psnr_u:inf psnr_v:inf 
n:4 mse_avg:1608.07 mse_y:2412.04 mse_u:0.08 mse_v:0.15 psnr_avg:16.07 psnr_y:14.31 psnr_u:59.26 psnr_v:56.24 
n:5 mse_avg:1529.60 mse_y:2294.27 mse_u:0.19 mse_v:0.33 psnr_avg:16.29 psnr_y:14.52 psnr_u:55.44 psnr_v:52.99 
n:6 mse_avg:3539.13 mse_y:5308.57 mse_u:0.19 mse_v:0.33 psnr_avg:12.64 psnr_y:10.88 psnr_u:55.44 psnr_v:52.99 
n:7 mse_avg:14354.34 mse_y:21531.34 mse_u:0.38 mse_v:0.31 psnr_avg:6.56 psnr_y:4.80 psnr_u:52.38 psnr_v:53.15 
n:8 mse_avg:14506.15 mse_y:21758.97 mse_u:0.48 mse_v:0.56 psnr_avg:6.52 psnr_y:4.75 psnr_u:51.30 psnr_v:50.67 
n:9 mse_avg:1303.59 mse_y:1955.13 mse_u:0.48 mse_v:0.56 psnr_avg:16.98 psnr_y:15.22 psnr_u:51.30 psnr_v:50.67 
n:10 mse_avg:1240.02 mse_y:1859.73 mse_u:0.45 mse_v:0.77 psnr_avg:17.20 psnr_y:15.44 psnr_u:51.59 psnr_v:49.29 
n:11 mse_avg:18389.36 mse_y:27583.35 mse_u:1.06 mse_v:1.70 psnr_avg:5.49 psnr_y:3.72 psnr_u:47.88 psnr_v:45.83 
n:12 mse_avg:15413.83 mse_y:23120.06 mse_u:1.06 mse_v:1.70 psnr_avg:6.25 psnr_y:4.49 psnr_u:47.88 psnr_v:45.83 
n:13 mse_avg:10970.22 mse_y:16454.55 mse_u:1.73 mse_v:1.37 psnr_avg:7.73 psnr_y:5.97 psnr_u:45.75 psnr_v:46.78 
n:14 mse_avg:12607.40 mse_y:18910.07 mse_u:1.85 mse_v:2.27 psnr_avg:7.12 psnr_y:5.36 psnr_u:45.46 psnr_v:44.57 
n:15 mse_avg:1509.28 mse_y:2262.90 mse_u:1.85 mse_v:2.27 psnr_avg:16.34 psnr_y:14.58 psnr_u:45.46 psnr_v:44.57 
n:16 mse_avg:1352.35 mse_y:2027.44 mse_u:2.31 mse_v:2.03 psnr_avg:16.82 psnr_y:15.06 psnr_u:44.50 psnr_v:45.06 
